num_contrato , poliza_aon , num_poliza_gnp , num_version , cve_marca , desc_vehiculo , num_serie , modelo_vehiculo , cve_status , desc_status , prima_neta , prima_total , cve_forma_pago , desc_forma_pago , primer_recibo , recibos_subsecuentes , num_recibos , fch_inicio_vigencia , fch_fin_vigencia , cve_vrs_tarifa , pct_valor_descuento_volumen , descr_larga_paquete  
61842	,	AON190000000402     	,	00000311502983	,	0	,	AUTNI2408     	,	X-TRAIL EXCLUSIVE	,	JN8BT27T5GW016900	,	2016	,	V	,	VIGOR               	,	7442.53	,	9155.33	,	M	,	MENSUAL                                           	,	1241.71	,	719.42	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000002036     	,	00000323619817	,	0	,	AUTGM6901     	,	AVEO M STD C/AAC MP3	,	3G1TA5AF4EL175428	,	2014	,	V	,	VIGOR               	,	2003.16	,	2845.67	,	M	,	MENSUAL                                           	,	700.73	,	357.49	,	9	,	2019-04-16 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000000937     	,	00000311513675	,	1	,	AUTMA0101     	,	MAZDA 3i STD 4 PTAS C/A.AC	,	3MZBM2L72FM165228	,	2015	,	A	,	ANULADA             	,	5794.37	,	7243.47	,	S	,	SEMESTRAL                                         	,	3882.74	,	3360.73	,	2	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000002013     	,	00000322297367	,	0	,	AUTTO0713     	,	YARIS SEDAN CORE AUT BA A.AC.	,	MR2B29F3XH1093584	,	2017	,	V	,	VIGOR               	,	4584.67	,	5840.23	,	M	,	MENSUAL                                           	,	1041.99	,	599.78	,	9	,	2019-04-05 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000849     	,	00000311512560	,	0	,	AUTCH3903     	,	VERNA GV AUT	,	KMHCH41C05U649413	,	2005	,	V	,	VIGOR               	,	2585.83	,	3521.55	,	T	,	TRIMESTRAL                                        	,	1271.88	,	749.89	,	4	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001633     	,	00000311519292	,	1	,	AUTVW1692     	,	JETTA NUEVO 2.0L STD.	,	3VW1K1AJ9HM206841	,	2017	,	A	,	ANULADA             	,	1793.56	,	2602.51	,	M	,	MENSUAL                                           	,	695.55	,	173.36	,	5	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	RESP.CIVIL                                                                                                              
61842	,	AON190000002204     	,	00000335981585	,	0	,	AUTSE0115     	,	SEAT IBIZA REFERENCE 1.6L C/A AC. Q/C.	,	VSSEM16L59R008619	,	2009	,	V	,	VIGOR               	,	1737.38	,	2537.36	,	A	,	ANUAL                                             	,	2537.36	,	NULL	,	1	,	2019-06-24 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000000161     	,	00000311500029	,	1	,	AUTCH3802     	,	CROSSFIRE AUT.	,	9BWLB45Z774108128	,	2007	,	A	,	ANULADA             	,	4231.53	,	5430.57	,	M	,	MENSUAL                                           	,	931.02	,	409.05	,	4	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000000052     	,	00000311498315	,	1	,	AUTVW3119     	,	VOLKSWAGEN GOL CL L4 1.6 5P PAQ SEG  STD	,	9BWDB45UXFT041330	,	2015	,	A	,	ANULADA             	,	7548.94	,	9278.77	,	M	,	MENSUAL                                           	,	1251.96	,	729.71	,	5	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	                    	,	00000316904580	,	1	,	AUTAN0101     	,	ANTIGUOS Y CLASICOS	,	563	,	1995	,	A	,	ANULADA             	,	1924.6	,	2754.54	,	M	,	MENSUAL                                           	,	708.21	,	186.03	,	3	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1083	,	65.17	,	RESP.CIVIL                                                                                                              
61842	,	AON190000000745     	,	00000311511299	,	0	,	AUTSE0151     	,	SEAT IBIZA BLITZ 2.0 HB STD	,	VSSAN46J6ER093458	,	2014	,	V	,	VIGOR               	,	4289.07	,	5497.35	,	M	,	MENSUAL                                           	,	950.7	,	428.46	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001917     	,	00000316480961	,	0	,	AUTTO0633     	,	RAV4 XLE 2.5L AUT.	,	2T3WF4EV0DW057384	,	2013	,	V	,	VIGOR               	,	2680.45	,	3631.32	,	M	,	MENSUAL                                           	,	618.92	,	301.24	,	11	,	2019-02-20 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000095     	,	00000311499297	,	1	,	AUTNI1201     	,	ALTIMA GXE	,	1N4DL01D9YC234194	,	2000	,	A	,	ANULADA             	,	2573.84	,	3507.61	,	M	,	MENSUAL                                           	,	771.14	,	248.77	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001570     	,	00000312802242	,	0	,	AUTHO0302     	,	ODYSSEY EX	,	5KBRL5841GB802122	,	2016	,	V	,	VIGOR               	,	6567.84	,	8140.7	,	M	,	MENSUAL                                           	,	1157.02	,	634.88	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000000823     	,	00000311512255	,	0	,	AUTNI1144     	,	TSURU GS II STD. C/A. AC.	,	3N1EB31S49K342674	,	2009	,	V	,	VIGOR               	,	5442.43	,	6835.23	,	T	,	TRIMESTRAL                                        	,	2100.33	,	1578.3	,	4	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000655     	,	00000311510028	,	1	,	AUTMA1002     	,	MAZDA CX-3 I SPORT L4 2.0 AUT	,	JM1DKDD71G0137470	,	2016	,	A	,	ANULADA             	,	6369.25	,	7910.35	,	M	,	MENSUAL                                           	,	1138.09	,	615.66	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000587     	,	00000311505994	,	0	,	AUTGM1423     	,	CHEVY C-2 5 PTAS	,	3G1SF61X86S109712	,	2006	,	V	,	VIGOR               	,	2975.19	,	3973.25	,	M	,	MENSUAL                                           	,	809.76	,	287.59	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000001195     	,	00000311516504	,	1	,	AUTFR2535     	,	FORD FOCUS TREND SPORT L4 2.0 4P AUT	,	WF0HP4M26E4109965	,	2014	,	A	,	ANULADA             	,	0.0	,	0.0	,	A	,	ANUAL                                             	,	6594.67	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000329     	,	00000311502041	,	0	,	AUTVW2405     	,	LUPO TRENDLINE C/A AC.	,	9BWKB05Z274090867	,	2007	,	V	,	VIGOR               	,	2771.51	,	3736.95	,	M	,	MENSUAL                                           	,	790.16	,	267.89	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001566     	,	00000312802218	,	0	,	AUTVW6705     	,	VOLKSWAGEN VENTO HIGHLINE STD	,	MEX4G2604ET051076	,	2014	,	V	,	VIGOR               	,	4615.77	,	5876.3	,	T	,	TRIMESTRAL                                        	,	1611.83	,	1421.49	,	4	,	2019-01-22 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001309     	,	00000311517775	,	1	,	AUTMT0705     	,	ENDEAVOR XLS AUT. C/A AC.	,	4A4MM41S3AE005977	,	2010	,	A	,	ANULADA             	,	5145.39	,	6490.65	,	A	,	ANUAL                                             	,	6490.65	,	NULL	,	1	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000290     	,	00000311501563	,	1	,	AUTBW1618     	,	BMW X1 SDRIVE 20I L4 2.0 TURBO STD	,	WBAVL910XEVT80097	,	2014	,	A	,	ANULADA             	,	6037.17	,	7525.07	,	M	,	MENSUAL                                           	,	1105.69	,	583.58	,	5	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000001462     	,	00000312798150	,	0	,	AUTNI5103     	,	NISSAN KICKS UPPER EXCLUSIVE L4 1.6 AUT	,	3N8CP5HE0JL494567	,	2018	,	V	,	VIGOR               	,	8481.63	,	10360.69	,	T	,	TRIMESTRAL                                        	,	2615.95	,	2581.58	,	4	,	2019-01-18 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.85	,	AMPLIA                                                                                                                  
61842	,	AON190000000308     	,	00000311501803	,	0	,	AUTGM1448     	,	CHEVY C-2 5 PTAS C/A AC. DH MP3 H	,	3G1SF21X4BS128423	,	2011	,	V	,	VIGOR               	,	3036.77	,	4044.64	,	M	,	MENSUAL                                           	,	815.48	,	293.56	,	12	,	2019-01-01 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
61842	,	AON190000002090     	,	00000327381372	,	0	,	AUTAU2013     	,	AUDI Q5 2.0L TFSI ELITE QUATTRO TIPTRONIC	,	WAUCFD8R5GA089040	,	2016	,	V	,	VIGOR               	,	802.69	,	1453.12	,	M	,	MENSUAL                                           	,	1453.12	,	995.09	,	8	,	2019-05-03 00:00:00	,	2020-01-01 00:00:00	,	1081	,	65.17	,	AMPLIA                                                                                                                  
